Genre,Question,Answer,Comments
Video Games,What is the title of the most commercially successful video game of all time?,Minecraft,"The best-selling video game to date is Minecraft, a sandbox game released by Mojang in May 2009 for a wide range of PC, mobile and console platforms, selling more than 238 million copies across all platforms. - Wikipedia"
Video Games,"True or False, Pong holds the distinction of being the very first video game ever created.",False,"Tennis for Two (also known as Computer Tennis) is a sports video game that simulates a game of tennis, and was one of the first games developed in the early history of video games. - Wikipedia"
Video Games,How many mainline Resident Evil games exist?,10,"There are 10 core Resident Evil games: RE 0-7, Village, and Code: Veronica. However, the total number of Resident Evil console games — including spinoffs and remakes — sits around 30. That number rises near 60 when accounting for mobile and pachinko games. - IGN"
Video Games,"Complete this sentence: ""______ is a leading video game company known for creating video game distribution platform Steam.""",Valve,"Valve Corporation, also known as Valve Software, is an American video game developer, publisher, and digital distribution company headquartered in Bellevue, Washington. It is the developer of the software distribution platform Steam and the franchises Half-Life, Counter-Strike, Portal, Day of Defeat, Team Fortress, Left 4 Dead, and Dota. - Wikipedia"
Macleans College,"True or False, the house charity for Kupe is the Himalayan Trust.",False,"The Kupe house charity is Kiwis for Kiwi an organization dedicated to rescuing kiwis all over the world. Kiwis for Kiwi is a conservation-based, not for-profit organisation. - Our Endangered World"
Macleans College,Complete this sentence: The ______ _______ is the official mascot for Snell house.,Black panther,"The black panther is known for its speed and agility. Its formidable predatory instincts incite fear and nervousness into any potential opposition. Its strength, courage and intellect are further qualities that enhance its presence in the jungle. - Macleans College"
Macleans College,What year was Macleans College first opened?,1980,"Macleans College was opened in 1980 by the Governor General, Sir David Beattie, with a roll of 199 students. - Macleans College"
Macleans College,"Which house in Macleans is the only two-storey house? Upham, Te Kanawa, Batten, Rutherford?",Batten,"Batten house, named after Jean Gardner Batten, is the only house in Macleans to have two-storeys."
Anime,Which famous Pokémon has electricity-storing pouches on its cheeks and is also Ash Ketchum's personal companion?,Pikachu,"Pikachu is a short, chubby rodent Pokémon. It is covered in yellow fur with two horizontal brown stripes on its back. It has a small mouth, long, pointed ears with black tips, and brown eyes. Each cheek is a red circle that contains a pouch for electricity storage. - Bulbapedia"
Anime,"True or False, ghouls can consume grape soda without getting sick in 'Tokyo Ghoul'.",False,"Besides water and coffee, a ghoul can only feed on humans and other ghouls. They are unable to digest any other type of food due to a particular enzyme their bodies produce. - OSG"
Anime,Complete this sentence: _______ was the first member of the First Levi Squad to die in 'Attack on Titan'?,Gunther,"Günther is a soldier who has logged 47 Titan kills, 7 solo. On the 57th expedition to the lands outside the wall, he is ambushed and killed during the retreat in the forest by Annie in her human form (using the vertical maneuvering equipment stolen from Marco). - Wikipedia"
Anime,How many Dragon Balls are there in DBZ?,7,"Dragon Balls are the namesake artifact of the Dragon Ball series. They are orange, crystalline spheres with the ability to call forth the Eternal Dragon Shenron which has the ability to grant wishes to anyone who gathers all seven of them. - Dragon Ball Updates Wiki"
